<OOV> 1.0	OOV
کر 1.0	K A R
لیا 1.0	L I J AA
ٹرانسفارمر 1.0	TT A R AA N S F AA R M A R
مڈنائٹ 1.0	M I DD N AA I TT
شاہین 1.0	SH AA H II N
گدھ 1.0	G I D_D_H
عقاب 1.0	U Q AA B
سمیت 1.0	S A M AE T_D
چیسٹ 1.0	T_SH E S TT
بل 1.0	B A L
سرعام 1.0	S A R AE AA M
سینکڑوں 1.0	S AYN K RR OON
برڈ 1.0	B A R DD
بیٹھتے 1.0	B AY TT_H T_D AE
ہیں 1.0	H AYN
کڑوے 1.0	K A RR V AE
قہوے 1.0	Q A H V AE
کا 1.0	K AA
شیدائی 1.0	SH AY D_D AA II
اصغر 1.0	A S 7 A R
کاشمیری 1.0	K AA SH M II R II
باغبانی 1.0	B AA 7 B AA N II
سیکھنے 1.0	S II K_H N AE
والا 1.0	V AA L AA
پانچواں 1.0	P AA N T_SH V AAN
منیجر 1.0	M A N AE D_ZZ A R
پٹھوں 1.0	P A TT_H TT_H OON
سرکا 1.0	S I R K AA
حادثاتی 1.0	H AA D_D S AA T_D II
درد 1.0	D_D A R D_D
بام 1.0	B AA M
فوراً 1.0	F O R A N
سلجھائیں 1.0	S U L D_ZZ_H AA AEN
پھر 1.0	P_H I R
میٹھے 1.0	M II TT_H AE
کولیسٹرول 1.0	K OO L AY S TT A R OO L
بچیں 1.0	B A T_SH AEN
کیولری 1.0	K AY OO L A R II
ڈیم 1.0	DD AY M
موزونیت 1.0	M O Z UU N II J A T_D
سمجھانے 1.0	S A M D_ZZ_H AA N AE
ادارے 1.0	I D_D AA R AE
ارکان 1.0	A R K AA N
تربیتی 1.0	T_D A R B II J A T_D II
خدمات 1.0	X I D_D M AA T_D
لیے 1.0	L II AE
حبیب 1.0	H A B II B
تحریک 1.0	T_D I H R II K
چلائی 1.0	T_SH A L AA II
اقتصادی 1.0	I Q T_D I S AA D_D II
معاملات 1.0	M U AA M A L AA T_D
تفہیم 1.0	T_D A F H II M
فرماں 1.0	F A R M AAN
بردار 1.0	B U R D_D AA R
نوجوانوں 1.0	N OO D_ZZ A V AA N OON
بریفنگ 1.0	B A R II F I NG
گفتگو 1.0	G U F T_D G UU
سرفہرست 1.0	S A R AE F A H R I S T_D
لکھیں 1.0	L I K_H AEN
سجاد 1.0	S A D_ZZ D_ZZ AA D_D
ریسکیو 1.0	R AY S K I J UU
معلومات 1.0	M A L UU M AA T_D
کھنگالنے 1.0	K_H A NG G AA L N AE
بعد 1.0	B AA D_D
جانے 1.0	D_ZZ AA N AE
کیوں 1.0	K I J UUN
بلاسوچے 1.0	B I L AA S OO T_SH AE
اچانک 1.0	A T_SH AA N A K
سوئمنگ 1.0	S UU I M I NG
راغب 1.0	R AA 7 I B
حامد 1.0	H AA M I D_D
سب 1.0	S A B
ڈیلروں 1.0	DD II L A R OON
سامنے 1.0	S AA M N AE
ان 1.0	A N
ویڈیوز 1.0	V II DD J UU Z
بدلے 1.0	B A D_D L AE
اعزہ 1.0	A I Z Z AA
ماچس 1.0	M AA T_SH I S
بھی 1.0	B_H II
نہیں 1.0	N A H IIN
بخشے 1.0	B A X SH AE
گا 1.0	G AA
تم 1.0	T_D U M
ڈائیلوشن 1.0	DD AA II L UU SH A N
عمل 1.0	A M A L
بچنے 1.0	B A T_SH N AE
نتھنوں 1.0	N A T_D_H N OON
گاؤ 1.0	G AA OO
کیونکہ 1.0	K I J UU N K AE
جبڑا 1.0	D_ZZ A B RR AA
سوجنے 1.0	S UU D_ZZ N AE
تلخی 1.0	T_D A L X II
سوجن 1.0	S UU D_ZZ A N
ہو 1.0	H OO
گی 1.0	G II
شجر 1.0	SH A D_ZZ A R
بیرونی 1.0	B AE R UU N II
شاخ 1.0	SH AA X
گیارہ 1.0	G I J AA R AA
ڈوڈیاں 1.0	DD OO DD I J AAN
توازن 1.0	T_D A V AA Z U N
درست 1.0	D_D U R U S T_D
مثال 1.0	M I S AA L
جو 1.0	D_ZZ O
سنگھاسن 1.0	S I N G_H AA S A N
بیضے 1.0	B AY Z AE
مترادف 1.0	M U T_D A R AA D_D I F
سمجھی 1.0	S A M D_ZZ_H II
جاتی 1.0	D_ZZ AA T_D II
ڈیڈ 1.0	DD AY DD
پچز 1.0	P I T_SH I Z
کیچ 1.0	K II T_SH
میچ 1.0	M II T_SH
رخ 1.0	R U X
پھیریں 1.0	P_H AE R AEN
نتیجے 1.0	N A T_D II D_ZZ AE
بیشتر 1.0	B AE SH T_D A R
لوگ 1.0	L OO G
خوشی 1.0	X U SH II
قیامت 1.0	Q I J AA M A T_D
ڈھا 1.0	DD_H AA
دیتے 1.0	D_D AE T_D AE
مملکتیں 1.0	M U M L I K A T_D AEN
بجھی 1.0	B U D_ZZ_H II
بے 1.0	B AE
ڈھب 1.0	DD_H A B
موجوں 1.0	M O D_ZZ OON
یا 1.0	J AA
صیہونی 1.0	S AY H UU N II
ڈاج 1.0	DD AA D_ZZ
رعشہ 1.0	R A A SH AA
زدہ 1.0	Z A D_D AA
نیشن 1.0	N AE SH A N
ٹرانسپیرنسی 1.0	TT A R AA N S P AY R E N S II
دے 1.0	D_D AE
سکتی 1.0	S A K T_D II
ریاست 1.0	R I J AA S A T_D
چوالیس 1.0	T_SH A V AA L II S
تعلقوں 1.0	T_D A A L L Q OON
صیغہ 1.0	S II 7 AA
بسائیں 1.0	B A S AA AEN
روہی 1.0	R OO H II
متھرانی 1.0	M I T_D_H R AA N II
زمین 1.0	Z A M II N
مزارعوں 1.0	M U Z AA R AE OON
پسند 1.0	P A S A N D_D
سرویئر 1.0	S A R V II A R
انستھیزیا 1.0	I N S T_D_H II Z I J AA
مالیخولیا 1.0	M AA L II X OO L I J AA
پائیریسی 1.0	P AA II R AE S II
بچاؤ 1.0	B A T_SH AA OO
تھیم 1.0	T_D_H II M
خود 1.0	X U D_D
منوا 1.0	M A N V AA
زیست 1.0	Z II S T_D
چنگل 1.0	T_SH U NG G A L
اس 1.0	I S
فیز 1.0	F AE Z
جیون 1.0	D_ZZ II V A N
افلاس 1.0	I F L AA S
پھنسی 1.0	P_H A N S II
پرنم 1.0	P U R N A M
آنکھ 1.0	AA N K_H
طرح 1.0	T_D A R H
ہوتا 1.0	H OO T_D AA
برسراقتدار 1.0	B A R S A R AE I Q T_D I D_D AA R
اہل 1.0	A H A L
دانش 1.0	D_D AA N I SH
قسم 1.0	Q A S A M
حلف 1.0	H A L F
گٹھڑی 1.0	G A TT_H RR II
اٹھوا 1.0	U TT_H V AA
لو 1.0	L O
فرض 1.0	F A R Z
اولی 1.0	UU L AA
چُھپ 1.0	T_SH_H A P
جاتا 1.0	D_ZZ AA T_D AA
روضہ 1.0	R O Z AA
دیسی 1.0	D_D AE S II
ساختہ 1.0	S AA X T_D AA
فیبرکس 1.0	F AY B R I K S
ذریعہ 1.0	Z A R II AA
انٹرفیس 1.0	I N TT A R F AE S
درج 1.0	D_D A R D_ZZ
مونا 1.0	M OO N AA
سفر 1.0	S A F A R
الجھ 1.0	U L A D_ZZ_H
سنبھلی 1.0	S A M B_H L II
ٹھہرنے 1.0	TT_H E H R N AE
کامیاب 1.0	K AA M J AA B
رہی 1.0	R A H II
اخوندزادہ 1.0	A X V I N D_D Z AA D_D AA
ساتویں 1.0	S AA T_D V AEN
سنچری 1.0	S E N T_SH R II
نئے 1.0	N A AE
طرزعمل 1.0	T_D A R Z AE A M A L
استقلال 1.0	I S T_D AE Q L AA L
بنائی 1.0	B A N AA II
اؤٹ 1.0	OO TT
گیا 1.0	G A J AA
ایکسیئن 1.0	AY K S II A N
اسی 1.0	I S II
موشن 1.0	M UU SH A N
ایمبیسی 1.0	E M B AY S II
تحویل 1.0	T_D A H V II L
گھسنے 1.0	G_H I S N AE
کوشش 1.0	K OO SH I SH
ہوشربا 1.0	H OO SH R U B AA
کڑوی 1.0	K A RR V II
تبدیلیاں 1.0	T_D A B D_D II L I J AAN
عیاں 1.0	A J AAN
سازباز 1.0	S AA Z B AA Z
جڑیں 1.0	D_ZZ U RR AEN
ملغوبہ 1.0	M A L 7 UU B AA
انداز 1.0	A N D_D AA Z
ننانوے 1.0	N I N AA N V AE
ملین 1.0	M I L J A N
متاثرین 1.0	M U T_D AA S I R II N
پوچھے 1.0	P UU T_SH_H AE
بغیر 1.0	B A 7 AY R
آپ 1.0	AA P
تعاون 1.0	T_D A AA V U N
معاف 1.0	M U AA F
سکتا 1.0	S A K T_D AA
وفاق 1.0	V I F AA Q
منظم 1.0	M U N A Z Z A M
آتشزدگی 1.0	AA T_D II SH Z A D_D A G II
چھیانوے 1.0	T_SH_H I J AA N V AE
بااصول 1.0	B AA U S UU L
ملازمین 1.0	M U L AA Z I M II N
استفسار 1.0	I S T_D I F S AA R
بالکل 1.0	B I L K U L
چاہیے 1.0	T_SH AA H I J AE
حملوں 1.0	H A M L OON
مجید 1.0	M A D_ZZ II D_D
صاحب 1.0	S AA H I B
بیس 1.0	B II S
بیڈروم 1.0	B AY DD R UU M
گھر 1.0	G_H A R
اتھل 1.0	U T_D_H A L
پتھل 1.0	P A T_D_H A L
کانگرس 1.0	K AA NG R A S
کوڈ 1.0	K O DD
انسان 1.0	I N S AA N
موزوں 1.0	M O Z UUN
قدروقیمت 1.0	Q A D_D R OO Q II M A T_D
ظاہر 1.0	Z AA H I R
کرتی 1.0	K U R T_D II
عابد 1.0	AA B I D_D
اسے 1.0	U S AE
جھڑک 1.0	D_ZZ_H I RR A K
بھیجے 1.0	B_H AE D_ZZ AE
ریٹائرمنٹ 1.0	R II TT AA AE R M AE N TT
کفالت 1.0	K I F AA L A T_D
مستغنی 1.0	M U S T_D A 7 N II
جائے 1.0	D_ZZ AA AE
بپھرے 1.0	B I P_H R AE
ہوے 1.0	H UU AE
چھوئیں 1.0	T_SH_H UU AEN
ننگے 1.0	N A NG G AE
الفاظ 1.0	A L F AA Z
سنگباری 1.0	S A NG B AA R II
نہ 1.0	N AA
کریں 1.0	K A R AEN
ہمارا 1.0	H A M AA R AA
پیغام 1.0	P AY 7 AA M
نماز 1.0	N A M AA Z
پڑھو 1.0	P A RR_H OO
کاجو 1.0	K AA D_ZZ UU
کھاؤ 1.0	K_H AA OO
اپنی 1.0	A P N II
عمریں 1.0	U M R AEN
علم 1.0	A L A M
صرف 1.0	S A R F
کرو 1.0	K A R OO
خانقاہوں 1.0	X AA N Q AA H OON
زبوں 1.0	Z A B UUN
حال 1.0	H AA L
نشئی 1.0	N A SH A II
غلیل 1.0	7 U L AE L
چوری 1.0	T_SH OO R II
کرنے 1.0	K A R N AE
چھڑیاں 1.0	T_SH_H A RR I J AAN
اٹھائے 1.0	U TT_H AA AE
کھڑے 1.0	K_H A RR AE
ویسٹ 1.0	V E S TT
فن 1.0	F A N
لینڈ 1.0	L II N DD
باؤلر 1.0	B A UU L A R
جھٹکے 1.0	D_ZZ_H A TT K AE
زیب 1.0	Z AE B
کچوکے 1.0	K A T_SH OO K AE
لگاتا 1.0	L A G AA T_D AA
رہا 1.0	R A H AA
رنز 1.0	R A N Z
بٹورتا 1.0	B A TT OO R T_D AA
کانگریس 1.0	K AA NG R AE S
حکومت 1.0	H U K UU M A T_D
یہ 1.0	J AE
پورا 1.0	P UU R AA
قومیائے 1.0	Q O M I J AA AE
خدوخال 1.0	X A D_D OO X AA L
ابھریں 1.0	U B_H R AEN
پَلوں 1.0	P U L OON
دھبے 1.0	D_D_H A B B AE
مٹیں 1.0	M I TT AEN
چوزوں 1.0	T_SH UU Z OON
جھلس 1.0	D_ZZ_H U L A S
بیضوی 1.0	B AY Z V II
لاشیں 1.0	L AA SH AEN
بن 1.0	B A N
جانا 1.0	D_ZZ AA N AA
صلاحیت 1.0	S A L AA H I J J A T_D
رولز 1.0	R OO L Z
کوتاہی 1.0	K OO T_D AA H II
نیم 1.0	N II M
بحرانی 1.0	B OO H R AA N II
مورخین 1.0	M OO A R R I X II N
تجرد 1.0	T_D A D_ZZ A R R U D_D
قید 1.0	Q AY D_D
خواستگار 1.0	X U AA S T_D G AA R
توہین 1.0	T_D O H II N
ایڈونچر 1.0	AY DD V E N T_SH A R
گیَر 1.0	G AE R
لگانا 1.0	L A G AA N AA
گھوڑے 1.0	G_H OO RR AE
دوڑانے 1.0	D_D O RR AA N AE
آسان 1.0	AA S AA N
سیف 1.0	S AE F
سمجھو 1.0	S A M D_ZZ_H OO
زیڈ 1.0	Z AY DD
گھمن 1.0	G_H U M M A N
دو 1.0	D_D OO
مرلہ 1.0	M A R L AA
سنگھاڑے 1.0	S I N G_H AA RR AE
اگائے 1.0	U G AA AE
بچہ 1.0	B A T_SH T_SH AA
کھلکھلا 1.0	K_H I L K_H I L AA
پھدکتا 1.0	P_H U D_D A K T_D AA
ہوا 1.0	H A V V AA
وہاں 1.0	V A H AAN
آ 1.0	AA
شہباز 1.0	SH H B AA Z
ہیجڑوں 1.0	H II D_ZZ RR OON
شوکیسوں 1.0	SH OO K AE S OON
پہچان 1.0	P A H T_SH AA N
یورپی 1.0	J O R P II
نوبل 1.0	N OO B I L
شیئرنگ 1.0	SH AE I R I NG
ایمبولینس 1.0	AY M B OO L AY N S
نشر 1.0	N A SH R
پیچیدہ 1.0	P AE T_SH II D_D AA
ساعت 1.0	S AA A T_D
بوڑھوں 1.0	B UU RR_H OON
نل 1.0	N A L
دیکھ 1.0	D_D AE K_H
بھال 1.0	B_H AA L
تذلیل 1.0	T_D A Z L II L
ناقابل 1.0	N AA Q AA B I L
افورڈ 1.0	A F OO R DD
میرے 1.0	M AE R AE
مطابق 1.0	M U T_D AA B I Q
فیاضی 1.0	F AY J AA Z II
ٹھیک 1.0	TT_H II K
غیر 1.0	7 AY R
حاضری 1.0	H AA Z I R II
پروا 1.0	P A R V AA
تین 1.0	T_D II N
بجے 1.0	B A D_ZZ AE
ریڑھی 1.0	R AE RR_H II
بھیج 1.0	B_H AE D_ZZ
دیں 1.0	D_D AEN
دھویں 1.0	D_D_H OO AEN
راجے 1.0	R AA D_ZZ AE
کھال 1.0	K_H AA L
بہت 1.0	B A H OO T_D
بری 1.0	B A R II
گئی 1.0	G A II
شہید 1.0	SH A H II D_D
اقربا 1.0	A Q R A B AA
نچلی 1.0	N I T_SH L II
کوئین 1.0	K UU II N
گیلری 1.0	G AY L R II
پارلیمنٹرین 1.0	P AA R L II M A N TT I R J A N
گمشدہ 1.0	G U M SH U D_D AA
تمغہ 1.0	T_D A M 7 AA
ڈھونڈھ 1.0	DD_H UU N DD_H
رہے 1.0	R A H AE
شکار 1.0	SH I K AA R
ارمغان 1.0	A R M U 7 AA N
پوچھوں 1.0	P UU T_SH_H UUN
علیحدہ 1.0	A L AY H I D_D AA
چونچلے 1.0	T_SH OO N T_SH L AE
مشرق 1.0	M A SH R I Q
کیسز 1.0	K AE S I Z
ثلث 1.0	S U L U S
توجیہ 1.0	T_D O D_ZZ II
بوگس 1.0	B OO G A S
چَھپ 1.0	T_SH_H A P
شاخوں 1.0	SH AA X OON
گروتھ 1.0	G A R OO T_D_H
اچھی 1.0	A T_SH T_SH_H II
چوکھٹ 1.0	T_SH O K_H A TT
پنچھی 1.0	P A N T_SH_H II
خوفناک 1.0	X OO F N AA K
دہشت 1.0	D_D E H SH A T_D
مبتلا 1.0	M U B T_D A L AA
لوک 1.0	L O K
سبھا 1.0	S A B_H AA
پرچم 1.0	P A R T_SH A M
تلے 1.0	T_D U L AE
مجیب 1.0	M U D_ZZ II B
گلوبل 1.0	G U L OO B A L
اتفاق 1.0	I T_D T_D I F AA Q
مدافعت 1.0	M U D_D AA F I A T_D
بات 1.0	B AA T_D
قلزم 1.0	Q U L Z U M
پُلوں 1.0	P U L OON
تھوڑا 1.0	T_D_H OO RR AA
گھونٹ 1.0	G_H UU N TT
پانی 1.0	P AA N II
ڈالنے 1.0	DD AA L N AE
بوجھ 1.0	B OO D_ZZ_H
پڑتا 1.0	P A RR T_D AA
شیخ 1.0	SH AE X
ذوالفقار 1.0	Z U L F I Q AA R
شاخیں 1.0	SH AA X AEN
پبلشنگ 1.0	P A B L I SH I NG
پیشروؤں 1.0	P AE SH R OO OON
ناجائز 1.0	N AA D_ZZ AA I Z
فیض 1.0	F AY Z
یاب 1.0	J AA B
پوچھنے 1.0	P UU T_SH_H N AE
مغرور 1.0	M A 7 R UU R
سٹوڈنٹس 1.0	S I TT UU DD A N TT S
کوارڈینیٹر 1.0	K OO A DD II N AE TT A R
امپائر 1.0	AE M P AA AE R
ہراساں 1.0	H A R AA S AAN
کیا 1.0	K I J AA
رینگتے 1.0	R II NG T_D AE
مہم 1.0	M U H I M
سوشلزم 1.0	S OO SH A L I Z M
بغاوت 1.0	B A 7 AA V A T_D
بلند 1.0	B A L A N D_D
مواضعات 1.0	M A V AA Z I AA T_D
بنگالی 1.0	B A NG G AA L II
مندری 1.0	M U N D_D R II
تھیوا 1.0	T_D_H AE V AA
سوئچ 1.0	S UU I T_SH
بیچنے 1.0	B AE T_SH N AE
جایا 1.0	D_ZZ AA J AA
کرتے 1.0	K A R T_D AE
پھونک 1.0	P_H UUN K
بھینس 1.0	B_H AY N S
تھنوں 1.0	T_D_H A N OON
سرخی 1.0	S U R X II
قدرے 1.0	Q A D_D R AE
رخصت 1.0	R U X S A T_D
ہوئی 1.0	H UU II
صحبتوں 1.0	S U H B A T_D OON
گالف 1.0	G AA L F
مچولی 1.0	M I T_SH O L II
جوق 1.0	D_ZZ O Q
در 1.0	D_D A R
کھیلتے 1.0	K_H AE L T_D AE
وعدے 1.0	V AA D_D AE
وعید 1.0	V A II D_D
شوکت 1.0	SH O K A T_D
نمک 1.0	N A M A K
خواری 1.0	X OO AA R II
رائگاں 1.0	R AA I G AAN
پرلطف 1.0	P U R L U T_D F
میت 1.0	M A J J A T_D
روڈ 1.0	R OO DD
قبرستان 1.0	Q A B R I S T_D AA N
بھجوائیں 1.0	B_H I D_ZZ V AA AEN
درود 1.0	D_D U R UU D_D
پڑھنے 1.0	P A RR_H N AE
دوغلا 1.0	D_D OO 7 L AA
شخص 1.0	SH A X S
جونیجو 1.0	D_ZZ OO N AE D_ZZ OO
سزا 1.0	S A Z AA
پھانسی 1.0	P_H AA N S II
نامزد 1.0	N AA M Z A D_D
گردش 1.0	G A R D_D I SH
اوپر 1.0	UU P A R
گائنی 1.0	G AA I N II
وارڈ 1.0	V AA R DD
ریسورس 1.0	R II S OO R S
ٹریبیونل 1.0	TT A R AE B AE J UU N A L
تبسم 1.0	T_D A B A S S U M
جمخانہ 1.0	D_ZZ I M X AA N AA
کیموتھراپی 1.0	K AY M OO T_D_H I R AA P II
توضیحات 1.0	T_D O Z II H AA T_D
بحثتا 1.0	B AY H E S T_D AA
نعیم 1.0	N A II M
ڈار 1.0	DD AA R
برش 1.0	B U R SH
انگلی 1.0	U NG L II
تھوتھا 1.0	T_D_H OO T_D_H AA
جگ 1.0	D_ZZ A G
گھول 1.0	G_H OO L
لائے 1.0	L AA AE
تاجور 1.0	T_D AA D_ZZ V A R
مصدق 1.0	M U S A D_D D_D I Q
سرحد 1.0	S A R H A D_D
اناسیواں 1.0	U N AA S II V AAN
نیشنل 1.0	N AY SH N A L
مرغبانی 1.0	M U R 7 B AA N II
مینجمنٹ 1.0	M AY N I D_ZZ M E N TT
پراجیکٹ 1.0	P A R AA D_ZZ AY K TT
منعقد 1.0	M U N A Q I D_D
باران 1.0	B AA R AA N
رحمت 1.0	R A H M A T_D
آمدورفت 1.0	AA M D_D OO R A F T_D
بوڑھی 1.0	B UU RR_H II
خاتون 1.0	X AA T_D UU N
تھک 1.0	T_D_H A K
اوجھڑی 1.0	OO D_ZZ_H RR II
کیمپ 1.0	K AY M P
خلائی 1.0	X A L AA II
نگہداشت 1.0	N I G H D_D AA SH T_D
معروضی 1.0	M A A R UU Z II
سمجھیں 1.0	S A M D_ZZ_H AEN
اختر 1.0	A X T_D A R
جنم 1.0	D_ZZ A N A M
بھومی 1.0	B_H UU M II
دائِیں 1.0	D_D AA AEN
آماجگاہ 1.0	AA M AA D_ZZ G AA
ملحقہ 1.0	M U L H A Q AA
جزو 1.0	D_ZZ U Z V
بنایا 1.0	B A N AA J AA
مجھے 1.0	M U D_ZZ_H AE
زودحس 1.0	Z UU D_D H I S
اوچھے 1.0	OO T_SH_H AE
اوصاف 1.0	O S AA F
بخشیں 1.0	B A X SH AEN
فضول 1.0	F U Z UU L
حزن 1.0	H U Z N
بچائیں 1.0	B A T_SH AA AEN
دونوں 1.0	D_D OO N OON
بجنوری 1.0	B I D_ZZ N O R II
ساتھ 1.0	S AA T_D_H
چلیں 1.0	T_SH A L AEN
غزلیات 1.0	7 A Z L I J AA T_D
بعینہ 1.0	B I Y AY N I H
تصدیق 1.0	T_D A S D_D II Q
دارلخلافہ 1.0	D_D AA R U L X I L AA F A H
ویڈنگ 1.0	V AY DD I NG
ایڈوائزری 1.0	AY DD V AA I Z I R II
بورڈ 1.0	B OO R DD
معرض 1.0	M A R A Z
وجود 1.0	V U D_ZZ UU D_D
آیا 1.0	AA J AA
زلزلے 1.0	Z A L Z A L AE
طرفین 1.0	T_D A R F AY N
ساری 1.0	S AA R II
گاڑیاں 1.0	G AA RR I J AAN
پسماندہ 1.0	P A S M AA N D_D AA
بنائیں 1.0	B A N AA AEN
مغز 1.0	M A 7 Z
لیچی 1.0	L II T_SH II
وغیرہ 1.0	V A 7 AY R AA
پرہیز 1.0	P A R H AE Z
روزمرہ 1.0	R OO Z M A R R AA
ٹھنڈا 1.0	TT_H A N DD AA
جادوئی 1.0	D_ZZ AA D_D UU II
کنواں 1.0	K U N V AAN
استعمال 1.0	I S T_D AE M AA L
صوفیہ 1.0	S OO F I J AA
دائیں 1.0	D_D AA AEN
گھوم 1.0	G_H UU M
منجھے 1.0	M A N D_ZZ_H AE
بھگوڑوں 1.0	B_H A G OO RR OON
ڈیویلپمنٹ 1.0	DD II V AY L P M A N TT
شیم 1.0	SH AE M
کہا 1.0	K A H AA
ایڈیشنل 1.0	AY DD II SH N A L
ججوں 1.0	D_ZZ A D_ZZ OON
طویل 1.0	T_D A V II L
ادائیگیوں 1.0	A D_D AA II G II OON
سوئس 1.0	S OO I S
بینک 1.0	B AY N K
منافعوں 1.0	M U N AA F OON
اگلے 1.0	A G L AE
اعدادوشمار 1.0	A D_D AA D_D OO SH U M AA R
جدول 1.0	D_ZZ A D_D V A L
ریلیز 1.0	R II L II Z
دیے 1.0	D_D II AE
گئے 1.0	G A AE
تنخواہ 1.0	T_D A N X AA
جیب 1.0	D_ZZ II B
جسم 1.0	D_ZZ I S M
تھر 1.0	T_D_H A R
کرنا 1.0	K A R N AA
سجھائی 1.0	S U D_ZZ_H AA II
دیتا 1.0	D_D AE T_D AA
مداحوں 1.0	M A D_D D_D AA H OON
روشنی 1.0	R O SH N II
کھلاڑی 1.0	K_H I L AA RR II
اچھے 1.0	A T_SH_H T_SH_H AE
کھیل 1.0	K_H AE L
گفٹ 1.0	G I F TT
دیا 1.0	D_D I J AA
انوسٹمنٹ 1.0	I N V E S TT M E N TT
مدون 1.0	M U D_D A V V A N
ضخیم 1.0	Z A X II M
دستاویزات 1.0	D_D A S T_D AA V AE Z AA T_D
مشاورت 1.0	M U SH AA V A R A T_D
ساؤتھ 1.0	S AA UU T_D_H
لیبارٹری 1.0	L II B AA R TT R II
بانو 1.0	B AA N OO
بیساکھی 1.0	B AE S AA K_H II
ہندوؤں 1.0	H I N D_D UU OON
تحائف 1.0	T_D A H AA I F
بہتر 1.0	B E H T_D A R
ذوق 1.0	Z O Q
درخشاں 1.0	D_D A R A X SH AAN
قدسی 1.0	Q U D_D S II
شروعات 1.0	SH U R UU AA T_D
کشف 1.0	K A SH F
پرسوز 1.0	P U R S OO Z
شعاع 1.0	SH U AA
شناسی 1.0	SH I N AA S II
مطالعہ 1.0	M U T_D AA L A AA
ثمر 1.0	S A M A R
قادیانی 1.0	Q AA D_D J AA N II
جالندھری 1.0	D_ZZ AA L A N D_D_H R II
کشمیری 1.0	K A SH M II R II
لائحہ 1.0	L AA I H AA
موردالزام 1.0	M O R I D_D AE I L Z AA M
دیہاتیوں 1.0	D_D II H AA T_D II OON
دھڑے 1.0	D_D_H A RR AE
اکٹھی 1.0	I K A TT_H TT_H II
چار 1.0	T_SH AA R
بھینسیں 1.0	B_H AY N S AEN
ڈوب 1.0	DD UU B
گئیں 1.0	G A IIN
روزہ 1.0	R OO Z AA
اویئرنس 1.0	A V AE A R N E S
افزائش 1.0	A F Z AA I SH
کرتا 1.0	K A R T_D AA
تعلیم 1.0	T_D AA L II M
چراغ 1.0	T_SH A R AA 7
پیشوا 1.0	P AE SH V AA
ملیریا 1.0	M A L AE R I J AA
پھیپھڑے 1.0	P_H AE P_H RR AE
مریضوں 1.0	M A R II Z OON
ڈسچارج 1.0	DD I S T_SH AA R D_ZZ
کرا 1.0	K A R AA
تحصیلدار 1.0	T_D E H S II L D_D AA R
بنگلے 1.0	B A NG L AE
کوٹھیاں 1.0	K OO TT_H I J AAN
کھلوائیں 1.0	K_H UU L V AA AEN
سوا 1.0	S I V AA
کیوڑہ 1.0	K AE V RR AA
نما 1.0	N A M AA
جوئیں 1.0	D_ZZ UU AEN
جا 1.0	D_ZZ AA
سکتیں 1.0	S A K T_D IIN
مورچے 1.0	M OO R T_SH AE
ایس 1.0	E S
تارڑ 1.0	T_D AA R A RR
بخوبی 1.0	B A X UU B II
موقف 1.0	M O Q I F
پالیسی 1.0	P AA L II S II
چلے 1.0	T_SH A L AE
نام 1.0	N AA M
تنازعے 1.0	T_D A N AA Z A AE
دکھائی 1.0	D_D I K_H AA II
راہبر 1.0	R AA H B A R
استاد 1.0	U S T_D AA D_D
مورخ 1.0	M U A R R I X
بلا 1.0	B I L AA
